iter	Passed	Remaining
0	191	191239
1	370	184962
2	531	176706
3	692	172546
4	865	172258
5	1038	172085
6	1214	172277
7	1378	170969
8	1545	170221
9	1706	168978
10	1850	166366
11	1997	164441
12	2163	164287
13	2319	163387
14	2488	163413
15	2660	163624
16	2822	163188
17	2965	161766
18	3128	161511
19	3288	161152
20	3466	161625
21	3661	162766
22	3833	162844
23	4015	163278
24	4182	163125
25	4346	162836
26	4523	163026
27	4700	163190
28	4859	162696
29	5032	162727
30	5198	162481
31	5387	162979
32	5552	162692
33	5713	162323
34	5883	162223
35	6059	162266
36	6235	162301
37	6411	162322
38	6590	162405
39	6751	162033
40	6928	162049
41	7086	161635
42	7257	161529
43	7418	161174
44	7581	160901
45	7739	160516
46	7910	160406
47	8084	160336
48	8242	159965
49	8404	159684
50	8557	159245
51	8737	159290
52	8886	158776
53	9069	158878
54	9230	158589
55	9398	158426
56	9553	158048
57	9721	157886
58	9882	157622
59	10038	157272
60	10181	156734
61	10325	156221
62	10469	155715
63	10629	155456
64	10759	154773
65	10897	154221
66	11034	153665
67	11207	153608
68	11386	153629
69	11536	153274
70	11697	153059
71	11854	152790
72	12024	152693
73	12216	152874
74	12375	152625
75	12539	152454
76	12703	152276
77	12861	152032
78	13018	151778
79	13186	151648
80	13343	151394
81	13492	151047
82	13674	151074
83	13844	150969
84	14009	150806
85	14189	150800
86	14336	150455
87	14486	150137
88	14667	150140
89	14841	150061
90	15006	149895
91	15145	149475
92	15311	149328
93	15485	149255
94	15663	149219
95	15858	149335
96	16024	149180
97	16183	148956
98	16358	148883
99	16550	148955
100	16726	148884
101	16894	148741
102	17050	148487
103	17216	148328
104	17403	148348
105	17574	148223
106	17737	148032
107	17906	147895
108	18073	147737
109	18249	147658
110	18400	147373
111	18579	147305
112	18737	147077
113	18900	146890
114	19047	146579
115	19215	146438
116	19386	146308
117	19564	146237
118	19735	146110
119	19910	146008
120	20062	145745
121	20251	145741
122	20419	145593
123	20578	145379
124	20760	145323
125	20929	145174
126	21094	145003
127	21261	144845
128	21425	144661
129	21583	144445
130	21751	144289
131	21934	144233
132	22105	144098
133	22292	144068
134	22458	143901
135	22620	143704
136	22791	143566
137	22956	143394
138	23127	143256
139	23284	143032
140	23468	142974
141	23621	142729
142	23764	142418
143	23939	142309
144	24096	142086
145	24253	141868
146	24415	141674
147	24592	141572
148	24766	141453
149	24932	141283
150	25106	141163
151	25279	141032
152	25454	140917
153	25619	140738
154	25789	140591
155	25950	140396
156	26127	140288
157	26295	140133
158	26463	139975
159	26647	139899
160	26806	139695
161	26944	139378
162	27089	139101
163	27231	138812
164	27380	138563
165	27536	138345
166	27700	138168
167	27848	137917
168	28033	137845
169	28184	137609
170	28340	137394
171	28498	137189
172	28653	136975
173	28813	136779
174	28973	136589
175	29137	136415
176	29299	136234
177	29475	136117
178	29621	135862
179	29776	135650
180	29943	135488
181	30109	135328
182	30289	135227
183	30443	135011
184	30616	134878
185	30764	134637
186	30940	134515
187	31101	134331
188	31279	134221
189	31446	134061
190	31602	133857
191	31769	133698
192	31945	133576
193	32137	133518
194	32283	133271
195	32441	133078
196	32601	132887
197	32779	132771
198	32941	132595
199	33093	132373
200	33253	132186
201	33412	131994
202	33567	131787
203	33726	131599
204	33897	131455
205	34078	131350
206	34244	131187
207	34430	131100
208	34585	130896
209	34768	130796
210	34939	130650
211	35106	130488
212	35269	130316
213	35446	130190
214	35603	129992
215	35777	129858
216	35932	129654
217	36095	129481
218	36270	129347
219	36455	129251
220	36614	129062
221	36768	128855
222	36923	128654
223	37089	128489
224	37257	128329
225	37426	128177
226	37596	128028
227	37745	127803
228	37896	127590
229	38043	127363
230	38213	127211
231	38361	126990
232	38510	126772
233	38657	126546
234	38820	126374
235	38993	126234
236	39164	126087
237	39325	125908
238	39482	125715
239	39654	125571
240	39831	125443
241	40002	125297
242	40164	125122
243	40340	124989
244	40502	124814
245	40658	124619
246	40810	124413
247	40985	124277
248	41137	124072
249	41292	123876
250	41463	123730
251	41619	123536
252	41772	123335
253	41949	123205
254	42101	123001
255	42271	122850
256	42421	122643
257	42613	122556
258	42781	122398
259	42948	122237
260	43126	122108
261	43291	121942
262	43457	121778
263	43602	121559
264	43768	121396
265	43929	121218
266	44090	121043
267	44235	120821
268	44400	120657
269	44557	120469
270	44708	120267
271	44872	120100
272	45032	119922
273	45187	119731
274	45354	119570
275	45519	119405
276	45671	119208
277	45881	119159
278	46044	118988
279	46209	118824
280	46379	118672
281	46535	118483
282	46708	118340
283	46881	118194
284	47065	118075
285	47233	117918
286	47399	117756
287	47554	117564
288	47729	117424
289	47885	117237
290	48054	117081
291	48210	116893
292	48352	116674
293	48485	116430
294	48617	116187
295	48749	115945
296	48891	115726
297	49029	115500
298	49149	115230
299	49289	115008
300	49439	114810
301	49541	114502
302	49650	114212
303	49790	113994
304	49917	113746
305	50029	113466
306	50162	113233
307	50307	113029
308	50436	112788
309	50598	112621
310	50773	112486
311	50918	112282
312	51075	112104
313	51233	111929
314	51399	111773
315	51553	111590
316	51710	111414
317	51869	111242
318	51997	111003
319	52145	110809
320	52327	110686
321	52457	110454
322	52602	110252
323	52769	110098
324	52972	110019
325	53122	109829
326	53270	109636
327	53412	109431
328	53579	109276
329	53705	109038
330	53864	108867
331	53997	108645
332	54148	108458
333	54275	108226
334	54418	108025
335	54558	107817
336	54688	107591
337	54841	107411
338	54987	107217
339	55121	107001
340	55249	106771
341	55389	106567
342	55547	106398
343	55725	106267
344	55867	106067
345	56003	105856
346	56159	105682
347	56275	105436
348	56417	105236
349	56583	105084
350	56816	105054
351	56928	104799
352	57112	104679
353	57304	104572
354	57475	104427
355	57700	104380
356	57912	104307
357	58097	104185
358	58293	104083
359	58524	104042
360	58773	104034
361	59009	104000
362	59188	103864
363	59395	103778
364	59591	103673
365	59764	103527
366	59949	103399
367	60134	103275
368	60321	103150
369	60510	103031
370	60690	102896
371	60854	102733
372	61052	102626
373	61254	102527
374	61433	102388
375	61612	102250
376	61810	102142
377	61952	101942
378	62143	101822
379	62323	101686
380	62513	101564
381	62692	101424
382	62865	101274
383	63025	101103
384	63180	100924
385	63338	100750
386	63499	100582
387	63648	100394
388	63786	100188
389	63934	99999
390	64099	99837
391	64263	99673
392	64425	99507
393	64577	99324
394	64707	99109
395	64860	98929
396	65016	98753
397	65177	98584
398	65329	98403
399	65479	98219
400	65631	98037
401	65792	97870
402	65942	97685
403	66102	97517
404	66244	97321
405	66410	97162
406	66566	96987
407	66710	96795
408	66844	96588
409	66990	96401
410	67151	96233
411	67308	96061
412	67446	95861
413	67597	95681
414	67751	95505
415	67909	95334
416	68046	95134
417	68203	94962
418	68360	94790
419	68516	94618
420	68657	94425
421	68798	94231
422	68954	94058
423	69096	93866
424	69252	93694
425	69407	93520
426	69548	93328
427	69708	93161
428	69867	92993
429	70027	92826
430	70160	92624
431	70317	92454
432	70425	92220
433	70582	92050
434	70748	91891
435	70909	91727
436	71052	91539
437	71204	91363
438	71341	91168
439	71478	90972
440	71614	90777
441	71747	90577
442	71881	90378
443	72020	90187
444	72160	89997
445	72311	89822
446	72441	89620
447	72559	89403
448	72688	89200
449	72800	88978
450	72924	88770
451	73065	88584
452	73198	88388
453	73331	88192
454	73477	88010
455	73627	87835
456	73765	87646
457	73896	87449
458	74025	87250
459	74119	87010
460	74252	86815
461	74370	86604
462	74515	86425
463	74659	86244
464	74788	86047
465	74918	85850
466	75054	85661
467	75186	85468
468	75316	85273
469	75441	85072
470	75588	84897
471	75719	84703
472	75841	84499
473	75969	84304
474	76092	84102
475	76202	83886
476	76337	83699
477	76451	83489
478	76571	83286
479	76691	83082
480	76809	82877
481	76931	82677
482	77053	82477
483	77178	82281
484	77306	82087
485	77426	81886
486	77557	81698
487	77684	81505
488	77816	81316
489	77940	81122
490	78049	80910
491	78182	80725
492	78314	80538
493	78425	80330
494	78529	80115
495	78631	79900
496	78742	79692
497	78855	79489
498	78965	79282
499	79063	79063
500	79144	78828
501	79247	78615
502	79366	78419
503	79481	78219
504	79591	78015
505	79701	77810
506	79809	77605
507	79899	77383
508	80000	77171
509	80103	76962
510	80209	76756
511	80326	76561
512	80439	76362
513	80546	76158
514	80654	75956
515	80753	75745
516	80850	75533
517	80953	75326
518	81048	75114
519	81151	74908
520	81251	74701
521	81365	74507
522	81477	74311
523	81588	74114
524	81703	73922
525	81823	73734
526	81932	73537
527	82041	73340
528	82149	73142
529	82262	72950
530	82372	72754
531	82477	72555
532	82578	72353
533	82684	72155
534	82778	71947
535	82882	71749
536	82972	71538
537	83073	71338
538	83171	71135
539	83277	70939
540	83389	70750
541	83496	70555
542	83612	70370
543	83728	70183
544	83824	69982
545	83936	69793
546	84038	69596
547	84145	69404
548	84260	69219
549	84371	69031
550	84475	68837
551	84599	68660
552	84707	68470
553	84813	68279
554	84925	68093
555	85031	67903
556	85136	67711
557	85249	67527
558	85354	67337
559	85460	67147
560	85569	66961
561	85674	66771
562	85780	66582
563	85885	66393
564	85993	66207
565	86090	66013
566	86193	65823
567	86303	65639
568	86411	65454
569	86516	65267
570	86611	65072
571	86732	64897
572	86840	64713
573	86945	64527
574	87050	64341
575	87158	64158
576	87271	63979
577	87399	63810
578	87510	63630
579	87607	63439
580	87715	63257
581	87816	63071
582	87917	62884
583	88006	62689
584	88110	62505
585	88223	62328
586	88332	62148
587	88450	61975
588	88565	61800
589	88676	61622
590	88778	61438
591	88866	61245
592	88956	61054
593	89066	60876
594	89176	60700
595	89285	60522
596	89394	60345
597	89503	60168
598	89601	59983
599	89688	59792
600	89799	59617
601	89899	59435
602	90002	59255
603	90122	59087
604	90241	58918
605	90359	58748
606	90483	58583
607	90607	58418
608	90720	58246
609	90837	58076
610	90948	57903
611	91048	57723
612	91164	57553
613	91271	57379
614	91367	57197
615	91480	57026
616	91575	56845
617	91676	56667
618	91786	56495
619	91893	56321
620	92001	56148
621	92110	55977
622	92217	55804
623	92326	55632
624	92423	55454
625	92526	55279
626	92631	55105
627	92739	54935
628	92837	54757
629	92942	54585
630	93052	54415
631	93155	54242
632	93256	54068
633	93364	53897
634	93469	53726
635	93565	53550
636	93661	53373
637	93768	53204
638	93877	53035
639	93989	52869
640	94108	52706
641	94215	52537
642	94310	52362
643	94399	52183
644	94509	52016
645	94612	51846
646	94713	51675
647	94814	51504
648	94916	51333
649	95022	51165
650	95143	51006
651	95250	50839
652	95371	50679
653	95482	50515
654	95602	50355
655	95703	50186
656	95813	50021
657	95914	49852
658	96024	49687
659	96126	49519
660	96229	49352
661	96332	49184
662	96437	49018
663	96538	48850
664	96635	48681
665	96750	48520
666	96865	48360
667	96971	48195
668	97087	48035
669	97192	47871
670	97308	47711
671	97419	47549
672	97528	47387
673	97623	47218
674	97733	47056
675	97838	46893
676	97945	46730
677	98034	46559
678	98118	46386
679	98225	46223
680	98331	46061
681	98446	45903
682	98554	45741
683	98672	45585
684	98785	45426
685	98911	45274
686	99030	45118
687	99134	44956
688	99226	44788
689	99309	44617
690	99416	44456
691	99526	44297
692	99642	44141
693	99745	43980
694	99858	43822
695	99974	43666
696	100093	43512
697	100199	43352
698	100307	43194
699	100415	43035
700	100530	42879
701	100649	42725
702	100765	42570
703	100877	42414
704	100992	42259
705	101110	42105
706	101213	41945
707	101332	41792
708	101454	41640
709	101579	41490
710	101690	41334
711	101798	41176
712	101908	41020
713	102019	40865
714	102127	40708
715	102246	40555
716	102348	40396
717	102445	40236
718	102547	40077
719	102656	39921
720	102765	39766
721	102869	39608
722	102973	39451
723	103076	39294
724	103177	39136
725	103279	38978
726	103373	38818
727	103478	38662
728	103589	38508
729	103705	38356
730	103808	38200
731	103905	38041
732	104009	37886
733	104111	37729
734	104213	37573
735	104306	37414
736	104403	37256
737	104502	37099
738	104602	36943
739	104694	36784
740	104797	36629
741	104883	36468
742	104977	36311
743	105067	36152
744	105167	35996
745	105271	35843
746	105373	35688
747	105464	35530
748	105566	35376
749	105659	35219
750	105765	35067
751	105860	34911
752	105963	34758
753	106062	34604
754	106163	34450
755	106269	34298
756	106364	34143
757	106443	33983
758	106523	33823
759	106616	33668
760	106700	33510
761	106776	33350
762	106851	33189
763	106927	33030
764	107005	32870
765	107091	32714
766	107166	32555
767	107240	32395
768	107320	32237
769	107400	32080
770	107476	31922
771	107536	31759
772	107602	31598
773	107680	31441
774	107761	31285
775	107849	31131
776	107932	30976
777	108015	30821
778	108089	30664
779	108166	30508
780	108240	30351
781	108321	30197
782	108400	30041
783	108479	29887
784	108556	29731
785	108626	29575
786	108709	29422
787	108781	29265
788	108854	29110
789	108946	28960
790	109035	28809
791	109116	28656
792	109203	28505
793	109291	28355
794	109380	28205
795	109464	28053
796	109552	27903
797	109632	27751
798	109708	27598
799	109794	27448
800	109877	27298
801	109955	27146
802	110038	26995
803	110121	26845
